%mand_s=7.6176e+06 kt02=4 p_pdf=13200
%num_elements=8100
%num_sum_T_pp_A=15
%num_sum_T_pp_B=15
%num_T_AA(0)=6
%num_T_BB(0)=6

%sum_T_pp_A
0.03411 0.075245 0.11638 0.157515 0.19865 0.239785 0.28092 0.322055 0.36319 0.404325 0.44546 0.486595 0.52773 0.568865 0.61 

%sum_T_pp_B
0.03411 0.075245 0.11638 0.157515 0.19865 0.239785 0.28092 0.322055 0.36319 0.404325 0.44546 0.486595 0.52773 0.568865 0.61 

%T_AA(0)
30 33.2 36.4 39.6 42.8 46 

%T_BB(0)
30 33.2 36.4 39.6 42.8 46 

%sigma_jet_values
110.876 115.198 118.759 121.746 124.331 126.47 
111.916 116.253 119.828 122.824 125.373 127.565 
112.772 117.122 120.707 123.712 126.268 128.468 
113.489 117.85 121.444 124.457 127.019 129.224 
114.1 118.471 122.071 125.09 127.657 129.868 
114.626 119.004 122.612 125.636 128.207 130.422 

104.312 109.266 113.351 116.772 119.683 122.19 
105.328 110.299 114.397 117.832 120.755 123.269 
106.164 111.15 115.26 118.706 121.637 124.159 
106.865 111.863 115.984 119.44 122.376 124.905 
107.463 112.47 116.6 120.062 123.006 125.539 
107.975 112.993 117.131 120.598 123.547 126.085 

97.7476 103.334 107.939 111.799 115.082 117.908 
98.7392 104.346 108.967 112.841 116.136 118.972 
99.5563 105.179 109.817 113.7 117.005 119.85 
100.241 105.878 110.525 114.419 117.733 120.585 
100.824 106.476 111.129 115.032 118.353 121.211 
101.325 106.985 111.649 115.561 118.886 121.749 

91.1835 97.4025 102.528 106.826 110.48 113.629 
92.151 98.3926 103.537 107.85 111.519 114.675 
92.9484 99.2086 104.368 108.694 112.373 115.54 
93.6169 99.8927 105.065 109.402 113.089 116.264 
94.1856 100.475 105.658 110.003 113.699 116.882 
94.6752 100.975 106.168 110.521 114.224 117.412 

84.6193 91.4708 97.1176 101.853 105.879 109.345 
85.5574 92.4394 98.1089 102.859 106.9 110.379 
86.3412 93.2376 98.9221 103.688 107.741 111.23 
86.9939 93.9069 99.6055 104.383 108.446 111.943 
87.5485 94.4763 100.187 104.974 109.046 112.55 
88.025 94.959 100.687 105.486 109.562 113.074 

78.0549 85.54 91.7077 96.879 101.278 105.064 
78.9743 86.4867 92.6771 97.8674 102.282 106.082 
79.7334 87.2669 93.476 98.682 103.109 106.921 
80.3692 87.9214 94.1462 99.3646 103.803 107.624 
80.9099 88.4779 94.7159 99.9453 104.393 108.222 
81.3752 88.9574 95.2062 100.445 104.901 108.737 

71.4905 79.6081 86.2977 91.9063 96.6761 100.783 
